Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2642161668.85211
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2252177133.74705,1821565617.6945,2051842609.64558,2247003347.63376,2533819406.4916
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,2142470914401.36
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,7139428557.71423
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.24831
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,11314951091.7283,10715396042.3343,11779981332.8631,12396807588.4082,13149325362.3347
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,10032440928.3488,9439810775.67214,11157002972.5829,11308300346.3725,12507927144.1342
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,278285058719.466,254042159309.311,315515014838.539,302116539409.03,335533331669.219
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,14279968506271.7,14687744162801,17820459508852.2,17881782683707.3,17794783039552
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,323031701192.84,270348342541.465,318524633225.395,345329875078.512,363493841244.303
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1195019531.9011,1225039196.61091,1296089479.91978,1242519407.77603,1352380971.24055
GDP (current US$),NY.GDP.MKTP.CD,"Congo Dem. Rep.",COD,51775829877.2088,48716961860.1325,55328482783.5393,65801547619.5815,66383287002.9867
GDP (current US$),NY.GDP.MKTP.CD,"Congo Rep.",COG,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,86497941439.0174
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,60382894697.3557,63027852805.4204,72794636653.7793,70173140101.4315,78875489245.0538
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,61467582193.6824,57963370885.0798,69006802298.6956,71198635101.9514,84393795502.4421
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,103427600000,107351800000,0,0,0
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3026124134.07821,2534327597.76536,2739608156.42458,3075180834.72417,3281419347.37053
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,26196667099.5303,25555093854.2968,30372874319.6285,30976176886.8521,33886930712.3394
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,256794209028.77,251109660602.536,290972714482.313,301831228325.556,343207874553.734
