Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,5117993853016.51,5055587093501.59,5034620784584.98,4256410760723.75,4204494802431.55
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,44503006338.0282,43700383098.5916,46296100140.8451,48764963380.2817,50967475352.1127
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,181667184854.501,171082365861.423,197112255360.612,225496328925.494,262641892078.524
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,100378436207.371,100657505750.545,109703658904.994,114448978152.637,108038588970.595
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,216985362.338171,223123620.597516,289339292.157301,270841698.369345,279208903.337644
GDP (current US$),NY.GDP.MKTP.CD,"Korea Dem. People's Rep.",PRK,0,0,0,0,0
GDP (current US$),NY.GDP.MKTP.CD,"Korea Rep.",KOR,1651422932447.77,1644312831906.17,1818432106880.04,1673916511799.71,1712792854202.37
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,7899737577.47286,7717145217.81247,9413403724.01899,9354903061.8898,10468219225.4869
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,140856394870.02,111045470461.207,148459291453.471,183940215065.171,163704878875.85
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,9371275264.36735,8270468614.24051,9249133946.26531,12134931017.9465,13987627908.8381
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,18740561512.5555,18981805250.2424,18827148530.9347,15468785203.7532,15843155731.2552
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,33099503950.847,33379927434.6149,38185125732.9451,38018905782.397,42247850064.5125
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,51605959131.2741,31712128253.7961,23131941556.7843,20992421948.8081,0
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2390702295.82777,2053699870.07191,2412130056.55851,2354683088.71995,2117962450.79469
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,3319596500,3176126300,3513049500,4001047000,4240000000
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,69254496471.6938,46854285440.642,35217995647.2862,43246297921.8499,45096462972.4014
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,6436467007.11932,6405870210.32293,7710380085.92257,7361504432.19331,0
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,55122066225.796,57412038533.2718,67037321008.9679,71033884499.7824,79789877416.1681
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,69890505323.5842,73699366700.2134,85584105993.8746,81641807865.7591,85755006123.5976
